         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      516    0.003    0.000    0.135    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:684(write_array)
      258    0.112    0.000    0.112    0.000 {resize}
      516    0.111    0.000    0.111    0.000 {method 'tofile' of 'numpy.ndarray' objects}
    66694    0.020    0.000    0.082    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\_lib\_sparse.py:10(issparse)
        1    0.000    0.000    0.081    0.081 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\umap_.py:2867(_fit_embed_data)
        1    0.000    0.000    0.080    0.080 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\umap_.py:938(simplicial_set_embedding)
        1    0.003    0.003    0.072    0.072 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\layouts.py:238(optimize_layout_euclidean)
      500    0.069    0.000    0.069    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\layouts.py:63(_optimize_layout_euclidean_single_epoch)
    70763    0.031    0.000    0.065    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.049    0.049 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\_set_output.py:314(wrapped)
        1    0.000    0.000    0.049    0.049 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\base.py:1348(wrapper)
        1    0.000    0.000    0.048    0.048 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\decomposition\_pca.py:443(fit_transform)
        1    0.000    0.000    0.048    0.048 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\decomposition\_pca.py:481(_fit)
        1    0.000    0.000    0.047    0.047 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\decomposition\_pca.py:704(_fit_truncated)
        1    0.001    0.001    0.046    0.046 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\extmath.py:531(_randomized_svd)
        2    0.000    0.000    0.037    0.019 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\_lib\_util.py:1203(wrapper)
    67408    0.019    0.000    0.035    0.000 <frozen abc>:117(__instancecheck__)
