         2609379 function calls (2609282 primitive calls) in 9.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.002    0.002 C:\Anaconda3\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
        1    0.002    0.002    0.002    0.002 C:\Anaconda3\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
        6    0.000    0.000    0.002    0.000 C:\Anaconda3\Lib\gettext.py:224(_expand_lang)
        1    0.000    0.000    0.002    0.002 C:\Anaconda3\Lib\lzma.py:1(<module>)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       31    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       37    0.000    0.000    0.002    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
       12    0.000    0.000    0.002    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\arraysetops.py:138(unique)
       12    0.001    0.000    0.002    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\arraysetops.py:323(_unique1d)
        5    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.001    0.001 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2177(sum)
        1    0.001    0.001    0.001    0.001 {method 'conj' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       23    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\re\__init__.py:280(_compile)
       20    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\re\__init__.py:226(compile)
       12    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\re\_compiler.py:740(compile)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.001    0.001 C:\Anaconda3\Lib\locale.py:1(<module>)
        8    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\shutil.py:1422(get_terminal_size)
       12    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\function_base.py:4565(_quantile_is_valid)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       12    0.000    0.000    0.001    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\function_base.py:4730(_get_indexes)
        1    0.001    0.001    0.001    0.001 {method 'close' of 'sqlite3.Connection' objects}
        8    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
       24    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
        5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:969(parse)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      9/5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:452(_parse_sub)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2100(clip)
        6    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1364(__init__)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_methods.py:90(_clip)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       24    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.generic' objects}
     10/6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:512(_parse)
       12    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1894(parse_args)
        5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:573(_code)
       24    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_methods.py:61(_all)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1904(parse_known_args)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1942(_parse_known_args)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        4    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_ufunc_config.py:452(_no_nep50_warning)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       12    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\function_base.py:4641(_lerp)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:2009(consume_optional)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     18/5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:37(_compile)
       48    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       24    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\collections\__init__.py:355(namedtuple)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:2247(_match_argument)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\__init__.py:164(match)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      111    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       12    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
       36    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\numerictypes.py:357(issubdtype)
        5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:511(_compile_info)
       48    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_methods.py:55(_any)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       13    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFED36E6A20}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\_compression.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       28    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
  477/458    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1497(add_argument_group)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       10    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\enum.py:1562(__and__)
      303    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1673(__init__)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1874(_add_action)
        9    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\_distutils_hack\__init__.py:102(find_spec)
       49    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\locale.py:381(normalize)
      350    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1695(_add_action)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      278    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      198    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\function_base.py:4619(_get_gamma)
       72    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\numerictypes.py:283(issubclass_)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        2    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\functools.py:35(update_wrapper)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:243(_optimize_charset)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
     21/8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:178(getwidth)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1507(_add_action)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      103    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\functools.py:516(decorating_function)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1586(_get_optional_kwargs)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       25    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:241(<genexpr>)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\locale.py:347(_replace_encoding)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1989(take_action)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:604(_format_args)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       28    0.000    0.000    0.000    0.000 <frozen os>:783(encodekey)
      120    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
       67    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:261(get)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\cProfile.py:119(__exit__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       12    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\lib\function_base.py:110(<lambda>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      115    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        9    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       99    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:240(__next)
       30    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\enum.py:1544(_get_value)
       37    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1417(register)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\encodings\__init__.py:43(normalize_encoding)
       12    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       46    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       14    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       40    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       10    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\enum.py:726(__call__)
       48    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:2509(_get_values)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\contextlib.py:299(helper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:1025(argsort)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       10    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:372(_escape)
       47    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       22    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1421(_registry_get)
       28    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:176(append)
        7    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:950(__init__)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1620(_pop_action_class)
