         2608862 function calls (2608772 primitive calls) in 7.468 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:779(argpartition)
       13    0.003    0.000    0.003    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.003    0.003    0.003    0.003 {method 'argpartition' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        6    0.000    0.000    0.002    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\gettext.py:231(_expand_lang)
        1    0.000    0.000    0.002    0.002 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\hash.py:38(calc_histogram)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       31    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        3    0.002    0.001    0.002    0.001 {calcHist}
        1    0.000    0.000    0.002    0.002 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
        1    0.002    0.002    0.002    0.002 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       37    0.000    0.000    0.002    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:2177(sum)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\lzma.py:1(<module>)
        5    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       18    0.000    0.000    0.001    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\__init__.py:287(compile)
       18    0.000    0.000    0.001    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\__init__.py:330(_compile)
        1    0.001    0.001    0.001    0.001 {built-in method _sqlite3.connect}
